발행처,빈도
"University of Science and Technology, Korea Research Institute of Standards and Science, Daejeon, Republic of Korea",1
"Graduate school , INJE UNIVERSITY",1
국립강릉원주대학교,1
Graduate School of Technology and Innovation Management,1
"UST, KIGAM",1
"Department of Chemistry, Graduate School, Incheon National University",1
"University of Science and Technology, Daejeon",1
과학기술연합대학원대학교한국에너지기술연구원,1
한국대학교 대전대학원환경공학과,1
"Graduate School of Interdisciplinary Management,UNIST",1
"UST, KRIBB school",1
대전대학교 대학과,1
"University of Science and Technology (UST), Korea Research Institute of Chemical Technology (KRICT) School",1
"UNIVERSITY OF SCIENCE AND TECHNOLOGY, SOUTH KOREA",1
DEPARTMENT OF PLANT MEDICALS GRADUATE SCHOOL ANDONG NATIONAL UNIVERSITY,1
새종대학교 일반대학원,1
the Graduate School of Catholic Kwandong University,1
Hankook university,1
THE GRADUATE SCHOOL KOREA AEROSPACE UNIVERSITY,1
동서대학교일반대학원,1
Tiangong University. PaiChai University,1
남부대학교 일반 대학원,1
Dongseo University Graduate School,1
Inje University. Department of Medicine,1
"University of Ulsan, The Graduate School",1
한림대학교 임상치의학대학원,1
호서대학교,1
Department of Nano and Advanced Material Engineering,1
경성대학교 약학대학원,1
부산외국어대학교 교육대학원,1
Graduate School of University of Ulsan,1
"지능기전공학부, 세종대학교",1
한림대학교 환경생명공학과,1
Pukyong National University,1
횃불트리니티대학원대학교,1
The Graduate School Woosuk University,1
대전대학교 한의과대학 대학원,1
대구한의대 대학원,1
배재대학교 국제통상대학원,1
과학기술연합대학원 한국전자통신연구원 스쿨,1
"The Graduate School  of medicine, Ulsan University",1
"University of Science and Technology (UST), KIER School",1
인제대하교 일반대학관,1
"UNIVERSITY OF SCIENCE AND TECHNOLGY, KOREA RESEARCH INSTITUTE OF CHEMICAL TECHNOLGY",1
Graduate School of International Studies,1
"Inje University, Graduate School of International Trade",1
"Inje University Graduate School, Department of International Trade",1
광주대학교 일반대학원,1
Graduate School of Interdisciplinary Management,1
University of Science and Technology (UST)/Korea Institute of Machinery and Materials (KIMM),1
The Graduate School of Hanseo University Department of Lifelong Education Major of Lifelong Education,1
University of Science and technology,1
"Uuniversity of Science and Technology (UST, South Korea)",1
"Hallym University,Department of Medical Science",1
"University of Science and Technology (UST), Korea Atomic Energy Research Institute (KAERI)",1
"Soonchunhyang University, Graduate School of Medicine",1
"University of Ulsan, School of Mechanical Engineering",1
HANBAT NATIONAL UNIVERSITY -CHEMICAL AND BIOLOGICAL ENGINEERING,1
Graduate School of Damkook University,1
Korea Institute of Science and Technology &amp; University of Science and Technology,1
"Graduate School of Venture Management, Hoseo University",1
"Kumoh National Institute of Technology, Department of Aeronautics, Mechanical and Electronic  Convergence Engineering",1
과학기술대학원대학교 한국전기연구원 KERIschool,1
배재대학교일반대학원,1
NGUYEN XUAN TUNG,1
"Korea National University of Transportation,  Graduate Department",1
대전대학교 일반대학교,1
서울여자대학교 교육대학원,1
대전대학교 간호대학원,1
서울벤처대학교 대학교,1
